date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:40	5310/5310	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22571814a6-247c%22	http://flexboxfroggy.com/robots.txt		(from )
01:03:41	5705/5705	---M--	200	added ('OK')	text/html	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/	C:/Os%20meus%20Sites/site/flexboxfroggy.com/index.html	(from )
01:03:42	55522/55522	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/node_modules/animate.css/animate.min.css	C:/Os%20meus%20Sites/site/flexboxfroggy.com/node_modules/animate.css/animate.min.css	(from http://flexboxfroggy.com/)
01:03:42	6922/6922	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/css/style.css	C:/Os%20meus%20Sites/site/flexboxfroggy.com/css/style.css	(from http://flexboxfroggy.com/)
01:03:48	84380/84380	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/node_modules/jquery/dist/jquery.min.js	C:/Os%20meus%20Sites/site/flexboxfroggy.com/node_modules/jquery/dist/jquery.min.js	(from http://flexboxfroggy.com/)
01:03:49	141125/141125	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Mar%202016%2022:17:08%20GMT	https://cdn.firebase.com/js/client/2.4.1/firebase.js	C:/Os%20meus%20Sites/site/cdn.firebase.com/js/client/2.4.1/firebase.js	(from http://flexboxfroggy.com/)
01:03:50	27806/27806	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/js/docs.js	C:/Os%20meus%20Sites/site/flexboxfroggy.com/js/docs.js	(from http://flexboxfroggy.com/)
01:03:50	6483/6483	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/js/messages.js	C:/Os%20meus%20Sites/site/flexboxfroggy.com/js/messages.js	(from http://flexboxfroggy.com/)
01:03:51	11133/11133	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/js/game.js	C:/Os%20meus%20Sites/site/flexboxfroggy.com/js/game.js	(from http://flexboxfroggy.com/)
01:03:51	187009/187009	---M-Z	200	added ('OK')	application/x-javascript	etag:%226a8b02338784858cf881c11542e1d895%22	http://connect.facebook.net/en_US/sdk.js	C:/Os%20meus%20Sites/site/connect.facebook.net/en_US/sdk.js	(from http://flexboxfroggy.com/)
01:03:52	187218/187218	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/js/levels.js	C:/Os%20meus%20Sites/site/flexboxfroggy.com/js/levels.js	(from http://flexboxfroggy.com/)
01:03:53	27576/27576	---MC-	200	added ('OK')	text/javascript	date:Mon,%2009%20May%202016%2022:17:11%20GMT	http://www.google-analytics.com/analytics.js	C:/Os%20meus%20Sites/site/www.google-analytics.com/analytics.js	(from http://flexboxfroggy.com/)
01:03:59	260918/260918	---M--	200	added ('OK')	image/png	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/images/screenshot.png	C:/Os%20meus%20Sites/site/flexboxfroggy.com/images/screenshot.png	(from http://flexboxfroggy.com/)
01:04:00	1636/1636	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/images/lilypad-green.svg	C:/Os%20meus%20Sites/site/flexboxfroggy.com/images/lilypad-green.svg	(from http://flexboxfroggy.com/css/style.css)
01:04:00	1651/1651	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/images/lilypad-red.svg	C:/Os%20meus%20Sites/site/flexboxfroggy.com/images/lilypad-red.svg	(from http://flexboxfroggy.com/css/style.css)
01:04:00	1657/1657	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/images/lilypad-yellow.svg	C:/Os%20meus%20Sites/site/flexboxfroggy.com/images/lilypad-yellow.svg	(from http://flexboxfroggy.com/css/style.css)
01:04:01	2452/2452	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/images/frog-green.svg	C:/Os%20meus%20Sites/site/flexboxfroggy.com/images/frog-green.svg	(from http://flexboxfroggy.com/css/style.css)
01:04:01	2448/2448	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/images/frog-red.svg	C:/Os%20meus%20Sites/site/flexboxfroggy.com/images/frog-red.svg	(from http://flexboxfroggy.com/css/style.css)
01:04:02	2597/2597	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2002%20May%202016%2020:15:57%20GMT	http://flexboxfroggy.com/images/frog-yellow.svg	C:/Os%20meus%20Sites/site/flexboxfroggy.com/images/frog-yellow.svg	(from http://flexboxfroggy.com/css/style.css)
01:04:02	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22571814a6-247c%22	http://flexboxfroggy.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Os%20meus%20Sites/site/flexboxfroggy.com/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/en_US/sdk.js)
01:04:02	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2257193ddb-247c%22	http://flexboxfroggy.com/restserver.php	C:/Os%20meus%20Sites/site/flexboxfroggy.com/restserver.11.delayed	(from http://connect.facebook.net/en_US/sdk.js)
